lines,junegunn,justinmk,linuxiscool,mach2,mattdev,thinkvim,wfxr,count
tpope/vim-rails,1,0,0,0,0,0,0,1
tpope/vim-projectionist,0,1,0,0,0,0,0,1
moll/vim-bbye,0,0,0,1,0,0,0,1
tpope/vim-obsession,0,1,0,0,0,0,0,1
tomasiser/vim-code-dark,0,0,1,0,0,0,0,1
sainnhe/gruvbox-material,0,0,0,0,0,0,1,1
tomasr/molokai,1,0,0,0,0,0,0,1
tomlion/vim-solidity,0,0,1,0,0,0,0,1
tommcdo/vim-exchange,0,1,0,0,0,0,0,1
tommcdo/vim-lion,0,1,0,0,0,0,0,1
tpope/vim-dispatch,0,1,0,0,0,0,0,1
tpope/vim-apathy,0,1,0,0,0,0,0,1
tpope/vim-bundler,1,0,0,0,0,0,0,1
t9md/vim-choosewin,0,0,0,0,0,1,0,1
tpope/vim-scriptease,0,1,0,0,0,0,0,1
suy/vim-context-commentstring,0,0,0,1,0,0,0,1
tpope/vim-sensible,0,0,0,0,0,0,1,1
tpope/vim-characterize,0,1,0,0,0,0,0,1
vim-scripts/IndexedSearch,0,0,0,0,1,0,0,1
unblevable/quick-scope,0,0,0,1,0,0,0,1
sgur/vim-editorconfig,1,0,0,0,0,0,0,1
udalov/kotlin-vim,0,1,0,0,0,0,0,1
tyru/caw.vim,0,0,0,0,0,1,0,1
simnalamburt/vim-mundo,0,0,0,0,0,1,0,1
skywind3000/asyncrun.vim,0,0,0,1,0,0,0,1
tyrannicaltoucan/vim-deep-space,1,0,0,0,0,0,0,1
skywind3000/asynctasks.vim,0,0,0,1,0,0,0,1
turbio/bracey.vim,0,0,0,1,0,0,0,1
slim-template/vim-slim,1,0,0,0,0,0,0,1
solarnz/thrift.vim,1,0,0,0,0,0,0,1
styled-components/vim-styled-components,0,0,1,0,0,0,0,1
sunaku/vim-dasht,0,1,0,0,0,0,0,1
terryma/vim-multiple-cursors,0,0,0,0,0,0,1,1
AlessandroYorba/Despacio,1,0,0,0,0,0,0,1
mileszs/ack.vim,0,0,0,0,1,0,0,1
glepnir/dashboard-nvim,0,0,0,0,0,1,0,1
ctrlpvim/ctrlp.vim,0,0,1,0,0,0,0,1
dag/vim-fish,1,0,0,0,0,0,0,1
dense-analysis/ale,0,0,0,0,0,0,1,1
derekwyatt/vim-scala,1,0,0,0,0,0,0,1
dhruvasagar/vim-table-mode,0,0,0,0,0,0,1,1
donRaphaco/neotex,0,0,0,0,1,0,0,1
easymotion/vim-easymotion,0,0,0,0,0,1,0,1
editorconfig/editorconfig-vim,0,0,0,0,0,1,0,1
euclio/vim-markdown-composer,0,0,1,0,0,0,0,1
fisadev/FixedTaskList.vim,0,0,0,0,1,0,0,1
glepnir/oceanic-material,0,0,0,0,0,1,0,1
christianchiarulli/nvcode.vim,0,0,0,1,0,0,0,1
glepnir/spaceline.vim,0,0,0,0,0,1,0,1
glts/vim-radical,0,0,0,1,0,0,0,1
glts/vim-textobj-comment,0,0,0,0,0,0,1,1
goerz/ipynb_notedown.vim,0,0,1,0,0,0,0,1
groenewege/vim-less,1,0,0,0,0,0,0,1
guns/vim-sexp,0,1,0,0,0,0,0,1
guns/vim-slamhound,1,0,0,0,0,0,0,1
hardcoreplayers/vim-buffet,0,0,0,0,0,1,0,1
haya14busa/vim-edgemotion,0,1,0,0,0,0,0,1
honza/dockerfile.vim,1,0,0,0,0,0,0,1
cocopon/iceberg.vim,1,0,0,0,0,0,0,1
chriskempson/vim-tomorrow-theme,1,0,0,0,0,0,0,1
michaeljsmith/vim-indent-object,0,0,0,0,1,0,0,1
Shougo/echodoc.vim,0,0,0,0,0,0,1,1
AndrewRadev/linediff.vim,0,1,0,0,0,0,0,1
AndrewRadev/tagalong.vim,0,0,0,1,0,0,0,1
ChristianChiarulli/far.vim,0,0,0,1,0,0,0,1
ConradIrwin/vim-bracketed-paste,0,0,0,0,0,0,1,1
Glench/Vim-Jinja2-Syntax,1,0,0,0,0,0,0,1
MaxMEllon/vim-jsx-pretty,1,0,0,0,0,0,0,1
PProvost/vim-ps1,0,1,0,0,0,0,0,1
Shougo/defx.nvim,0,0,0,0,0,1,0,1
Shougo/dein.vim,0,0,0,0,0,1,0,1
Shougo/denite.nvim,0,0,1,0,0,0,0,1
SirVer/ultisnips,0,0,0,0,0,0,1,1
chrisbra/unicode.vim,1,0,0,0,0,0,0,1
Townk/vim-autoclose,0,0,0,0,1,0,0,1
Valloric/MatchTagAlways,0,1,0,0,0,0,0,1
Vigemus/iron.nvim,0,0,0,0,0,1,0,1
ajmwagar/vim-deus,0,0,1,0,0,0,0,1
andrewstuart/vim-kubernetes,0,0,0,0,0,0,1,1
antoinemadec/coc-fzf,0,0,0,0,0,0,1,1
arielrossanigo/dir-configs-override.vim,0,0,0,0,1,0,0,1
asvetliakov/vim-easymotion,0,0,0,1,0,0,0,1
bfredl/nvim-ipy,0,0,1,0,0,0,0,1
